lakeid,sta,sampledate,andate,coreid,top_bottom,species_name,head_size,head_size_units_to_mm,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,8,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,11,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,6,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,4,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,4,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,4,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,12,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,6,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,6,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,6,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,11,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,6,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,6,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,2,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,7,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,11,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,6,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,3,0,ch,11,55,,
