day,body_size,bootstrap,algae_conc2,wt,nt,wt_day0,nt_day0,Pd,g,gd
22,3.2941176470588234,4,0.002,0.03717708246270547,10.333333333333334,0.02312140142923563,17.666666666666668,0.008944524294026264,0.014055681033469842,6.388945924304473e-4
22,3.283606711915535,4,0.00390625,0.0368691901120039,9,0.02312140142923563,17.666666666666668,0.00833199314107168,0.013747788682768273,6.248994855803761e-4
22,3.0106209150326797,4,0.0078125,0.02945598437632882,7.333333333333333,0.02312140142923563,17.666666666666668,0.003599194856302949,0.00633458294709319,2.879355885042359e-4
22,3.357843137254902,4,0.015625,0.039080534850782,11.666666666666666,0.02312140142923563,17.666666666666668,0.010639422281030915,0.01595913342154637,7.254151555248351e-4
22,3.080206220419202,4,0.03125,0.03124103133811376,10,0.02312140142923563,17.666666666666668,0.005105524866946098,0.008119629908878132,3.6907408676718783e-4
22,3.3072110423116614,4,0.0625,0.03756301319725558,13.333333333333334,0.02312140142923563,17.666666666666668,0.010174771927468601,0.01444161176801995,6.564368985463614e-4
22,3.318809005083515,4,0.125,0.037907088468893256,10,0.02312140142923563,17.666666666666668,0.00929706079008775,0.014785687039657627,6.720766836208012e-4
22,3.3264933880528957,4,0.25,0.03813621341762372,14.333333333333334,0.02312140142923563,17.666666666666668,0.010919863264282249,0.015014811988388093,6.824914540176406e-4
22,3.664021164021164,4,0.5,0.04913545830744346,14.666666666666666,0.02312140142923563,17.666666666666668,0.01911639028171333,0.02601405687820783,0.0011824571308276287
22,3.5964052287581696,4,1,0.04678209224535059,14.666666666666666,0.02312140142923563,17.666666666666668,0.017387022796690542,0.023660690816114962,0.0010754859461870438
14,2.8587962962962963,5,0.002,0.025800041406363376,9,0.022064585453464812,17.666666666666668,0.0035575770979986328,0.0037354559528985642,2.6681828234989747e-4
14,2.452512254901961,5,0.00390625,0.01753057694377196,8,0.022064585453464812,17.666666666666668,-0.004156174467218448,-0.004534008509692853,-3.2385775069234665e-4
14,2.948369565217391,5,0.0078125,0.0279178637135704,12,0.022064585453464812,17.666666666666668,0.0062016876803499665,0.005853278260105586,4.1809130429325617e-4
14,2.957107843137255,5,0.015625,0.028130460445077277,14,0.022064585453464812,17.666666666666668,0.006860215764323621,0.006065874991612465,4.3327678511517607e-4
14,3.0130718954248366,5,0.03125,0.029517672551155855,8,0.022064585453464812,17.666666666666668,0.00683199650621679,0.007453087097691043,5.323633641207889e-4
14,2.889093137254902,5,0.0625,0.026503917074611985,9,0.022064585453464812,17.666666666666668,0.004227934877283022,0.004439331621147173,3.1709511579622665e-4
14,2.8973039215686276,5,0.125,0.026696855625476742,12.5,0.022064585453464812,17.666666666666668,0.0049907196496080915,0.00463227017201193,3.30876440857995e-4
14,3.0203005115089514,5,0.25,0.02970010942435184,13.5,0.022064585453464812,17.666666666666668,0.008499065372356396,0.007635523970887029,5.453945693490735e-4
14,3.394607843137255,5,0.5,0.040207673593277024,12,0.022064585453464812,17.666666666666668,0.019223033862420084,0.018143088139812212,0.0012959348671294437
14,3.347997318585554,5,1,0.03878229826392559,19.5,0.022064585453464812,17.666666666666668,0.022190773551980677,0.016717712810460778,0.0011941223436043413
22,3.398488562091503,5,0.002,0.04032789836935522,10.333333333333334,0.022064585453464812,17.666666666666668,0.011622108219202988,0.01826331291589041,8.301505870859277e-4
22,3.2213895173453997,5,0.00390625,0.03508143805515646,9,0.022064585453464812,17.666666666666668,0.007889001576782819,0.01301685260169165,5.916751182587114e-4
22,2.969187675070028,5,0.0078125,0.028426128427949993,7.333333333333333,0.022064585453464812,17.666666666666668,0.003614513053684762,0.006361542974485181,2.8916104429478097e-4
22,3.2219579008073818,5,0.015625,0.03509750263730694,11.666666666666666,0.022064585453464812,17.666666666666668,0.008688611455894753,0.013032917183842127,5.924053265382785e-4
22,2.892156862745098,5,0.03125,0.026575799970991437,10,0.022064585453464812,17.666666666666668,0.002836597007232651,0.004511214517526625,2.0505520534211933e-4
22,3.1682146542827656,5,0.0625,0.033600105867141496,13.333333333333334,0.022064585453464812,17.666666666666668,0.00812729847327221,0.011535520413676684,5.243418369853038e-4
22,3.3871187363834423,5,0.125,0.03997633682352143,10,0.022064585453464812,17.666666666666668,0.011262692149353786,0.01791175137005662,8.141705168207555e-4
22,3.400592795257638,5,0.25,0.04039318765834672,14.333333333333334,0.022064585453464812,17.666666666666668,0.013329892512641389,0.01832860220488191,8.331182820400868e-4
22,3.7391067538126364,5,0.5,0.05183982605041333,14.666666666666666,0.022064585453464812,17.666666666666668,0.021880290438666714,0.02977524059694852,0.0013534200271340237
22,3.599673202614379,5,1,0.04689406730686693,14.666666666666666,0.022064585453464812,17.666666666666668,0.018245907119545497,0.02482948185340212,0.0011286128115182781
14,2.6793981481481484,6,0.002,0.021885997925852933,9,0.023736405747419007,17.666666666666668,-0.001762293163396261,-0.001850407821566074,-1.3217198725471956e-4
14,2.5191482843137254,6,0.00390625,0.018743329482352286,8,0.023736405747419007,17.666666666666668,-0.004576986576311162,-0.004993076265066721,-3.5664830464762293e-4
14,2.8087702472293268,6,0.0078125,0.02466527192562903,12,0.023736405747419007,17.666666666666668,9.84155831674906e-4,9.288661782100235e-4,6.634758415785882e-5
14,2.723529411764706,6,0.015625,0.022809227258273074,14,0.023736405747419007,17.666666666666668,-0.001048594719867424,-9.271784891459328e-4,-6.622703493899521e-5
14,2.8558006535947715,6,0.03125,0.025731129646219895,8,0.023736405747419007,17.666666666666668,0.0018284969072341476,0.001994723898800888,1.4248027848577774e-4
14,2.9384957107843137,6,0.0625,0.027678931225877,9,0.023736405747419007,17.666666666666668,0.0037547861699599944,0.003942525478457994,2.816089627469996e-4
14,3.098529411764706,6,0.125,0.031722772600915355,12.5,0.023736405747419007,17.666666666666668,0.008604359526683565,0.007986366853496348,5.704547752497392e-4
14,2.920662830349531,6,0.25,0.027250863913861133,13.5,0.023736405747419007,17.666666666666668,0.003911926649551652,0.0035144581664421255,2.510327261744375e-4
14,3.316283034953112,6,0.5,0.037831972626449946,12,0.023736405747419007,17.666666666666668,0.014934588717068495,0.014095566879030939,0.0010068262056450671
14,3.293950058655941,6,1,0.03717215996948929,19.5,0.023736405747419007,17.666666666666668,0.017834364235248056,0.013435754222070283,9.596967301478774e-4
22,3.089256535947712,6,0.002,0.03147836204597288,10.333333333333334,0.023736405747419007,17.666666666666668,0.004926699462716102,0.007741956298553874,3.519071044797215e-4
22,3.310708898944193,6,0.00390625,0.037666563426277076,9,0.023736405747419007,17.666666666666668,0.008442519805368528,0.013930157678858069,6.331889854026395e-4
22,3.150093370681606,6,0.0078125,0.0331049818818822,7.333333333333333,0.023736405747419007,17.666666666666668,0.005323054621854085,0.00936857613446319,4.2584436974832683e-4
22,3.101391291810842,6,0.015625,0.03179845950144597,11.666666666666666,0.023736405747419007,17.666666666666668,0.005374702502684642,0.008062053754026962,3.6645698881940735e-4
