sampledate,Time,hour,temp,lux,time
6/16/13,2:00,2,NA,462.9,2.00
6/16/13,2:15,2,NA,430.6,2.25
6/16/13,2:30,2,NA,667.4,2.50
6/16/13,2:45,2,NA,914.9,2.75
6/16/13,3:00,3,NA,1044.1,3.00
6/16/13,3:15,3,NA,1463.9,3.25
6/16/13,3:30,3,NA,1808.3,3.50
6/16/13,3:45,3,NA,1808.3,3.75
6/16/13,4:00,4,NA,3272.2,4.00
6/16/13,4:15,4,NA,2755.6,4.25
6/16/13,4:30,4,NA,3616.7,4.50
6/16/13,4:45,4,NA,3444.5,4.75
6/16/13,5:00,5,NA,4477.8,5.00
6/16/13,5:15,5,NA,6200,5.25
6/16/13,5:30,5,NA,8266.7,5.50
6/16/13,5:45,5,NA,9300.1,5.75
6/16/13,6:00,6,NA,11711.2,6.00
6/16/13,6:15,6,NA,17911.2,6.25
6/16/13,6:30,6,NA,14466.8,6.50
6/16/13,6:45,6,NA,16533.4,6.75
6/16/13,7:00,7,NA,24800.2,7.00
6/16/13,7:15,7,NA,28933.5,7.25
6/16/13,7:30,7,NA,46844.8,7.50
6/16/13,7:45,7,NA,63378.2,7.75
6/16/13,8:00,8,NA,176356.7,8.00
6/16/13,8:15,8,NA,165334.4,8.25
6/16/13,8:30,8,NA,170845.6,8.50
6/16/13,8:45,8,NA,176356.7,8.75
6/16/13,9:00,9,NA,187379,9.00
6/16/13,9:15,9,NA,198401.3,9.25
6/16/13,9:30,9,NA,198401.3,9.50
6/16/13,9:45,9,NA,209423.6,9.75
6/16/13,10:00,10,NA,209423.6,10.00
6/16/13,10:15,10,NA,220445.9,10.25
6/16/13,10:30,10,NA,220445.9,10.50
6/16/13,10:45,10,NA,220445.9,10.75
6/16/13,11:00,11,NA,220445.9,11.00
6/16/13,11:15,11,NA,231468.2,11.25
6/16/13,11:30,11,NA,231468.2,11.50
6/16/13,11:45,11,NA,52355.9,11.75
6/16/13,12:00,12,NA,49600.3,12.00
6/16/13,12:15,12,NA,82667.2,12.25
6/16/13,12:30,12,NA,74400.5,12.50
6/16/13,12:45,12,NA,68889.3,12.75
6/16/13,13:00,13,NA,71644.9,13.00
6/16/13,13:15,13,NA,66133.8,13.25
6/16/13,13:30,13,NA,63378.2,13.50
6/16/13,13:45,13,NA,66133.8,13.75
6/16/13,14:00,14,NA,71644.9,14.00
6/16/13,14:15,14,NA,74400.5,14.25
6/16/13,14:30,14,NA,18600.1,14.50
6/16/13,14:45,14,NA,79911.6,14.75
6/16/13,15:00,15,NA,82667.2,15.00
6/16/13,15:15,15,NA,110223,15.25
6/16/13,15:30,15,NA,26178,15.50
6/16/13,15:45,15,NA,126756.4,15.75
6/16/13,16:00,16,NA,110223,16.00
6/16/13,16:15,16,NA,104711.8,16.25
6/16/13,16:30,16,NA,74400.5,16.50
6/16/13,16:45,16,NA,68889.3,16.75
6/16/13,17:00,17,NA,35822.5,17.00
6/16/13,17:15,17,NA,34444.7,17.25
6/16/13,17:30,17,NA,26178,17.50
6/16/13,17:45,17,NA,20666.8,17.75
6/16/13,18:00,18,NA,31689.1,18.00
6/16/13,18:15,18,NA,31689.1,18.25
6/16/13,18:30,18,NA,31689.1,18.50
6/16/13,18:45,18,NA,30311.3,18.75
6/16/13,19:00,19,NA,30311.3,19.00
6/16/13,19:15,19,NA,28933.5,19.25
6/16/13,19:30,19,NA,30311.3,19.50
6/16/13,19:45,19,NA,30311.3,19.75
6/16/13,20:00,20,NA,26178,20.00
6/16/13,20:15,20,NA,19977.9,20.25
6/16/13,20:30,20,NA,21355.7,20.50
6/16/13,20:45,20,NA,24800.2,20.75
6/16/13,21:00,21,NA,23422.4,21.00
6/16/13,21:15,21,NA,13777.9,21.25
6/16/13,21:30,21,NA,10333.4,21.50
6/16/13,21:45,21,NA,20666.8,21.75
6/16/13,22:00,22,NA,8266.7,22.00
6/16/13,22:15,22,NA,4133.4,22.25
6/16/13,22:30,22,NA,28933.5,22.50
6/16/13,22:45,22,NA,46844.8,22.75
6/16/13,23:00,23,NA,55111.5,23.00
6/16/13,23:15,23,NA,13777.9,23.25
6/16/13,23:30,23,NA,1894.5,23.50
6/16/13,23:45,23,NA,1894.5,23.75
6/17/13,0:00,0,NA,1377.8,0.00
6/17/13,0:15,0,NA,1173.3,0.25
6/17/13,0:30,0,NA,871.9,0.50
6/17/13,0:45,0,NA,1377.8,0.75
6/17/13,1:00,1,NA,1334.7,1.00
6/17/13,1:15,1,NA,1377.8,1.25
6/17/13,1:30,1,NA,1216.3,1.50
6/17/13,1:45,1,NA,1184,1.75
6/17/13,2:00,2,NA,1377.8,2.00
6/17/13,2:15,2,NA,2669.5,2.25
6/17/13,2:30,2,NA,3272.2,2.50
6/17/13,2:45,2,NA,3788.9,2.75
6/17/13,3:00,3,NA,7233.4,3.00
6/17/13,3:15,3,NA,4477.8,3.25
6/17/13,3:30,3,NA,11711.2,3.50
6/17/13,3:45,3,NA,15844.5,3.75
6/17/13,4:00,4,NA,14466.8,4.00
6/17/13,4:15,4,NA,28933.5,4.25
6/17/13,4:30,4,NA,12400.1,4.50
6/17/13,4:45,4,NA,35822.5,4.75
6/17/13,5:00,5,NA,85422.8,5.00
6/17/13,5:15,5,NA,24800.2,5.25
6/17/13,5:30,5,NA,37200.2,5.50
6/17/13,5:45,5,NA,39955.8,5.75
6/17/13,6:00,6,NA,33066.9,6.00
6/17/13,6:15,6,NA,46844.8,6.25
6/17/13,6:30,6,NA,44089.2,6.50
6/17/13,6:45,6,NA,34444.7,6.75
6/17/13,7:00,7,NA,13089,7.00
6/17/13,7:15,7,NA,24800.2,7.25
6/17/13,7:30,7,NA,37200.2,7.50
6/17/13,7:45,7,NA,39955.8,7.75
6/17/13,8:00,8,NA,28933.5,8.00
6/17/13,8:15,8,NA,37200.2,8.25
6/17/13,8:30,8,NA,33066.9,8.50
6/17/13,8:45,8,NA,28933.5,8.75
6/17/13,9:00,9,NA,42711.4,9.00
6/17/13,9:15,9,NA,34444.7,9.25
6/17/13,9:30,9,NA,52355.9,9.50
6/17/13,9:45,9,NA,44089.2,9.75
6/17/13,10:00,10,NA,68889.3,10.00
6/17/13,10:15,10,NA,52355.9,10.25
6/17/13,10:30,10,NA,88178.4,10.50
6/17/13,10:45,10,NA,63378.2,10.75
6/17/13,11:00,11,NA,66133.8,11.00
6/17/13,11:15,11,NA,66133.8,11.25
6/17/13,11:30,11,NA,79911.6,11.50
6/17/13,11:45,11,NA,60622.6,11.75
6/17/13,12:00,12,NA,46844.8,12.00
6/17/13,12:15,12,NA,33066.9,12.25
6/17/13,12:30,12,NA,46844.8,12.50
6/17/13,12:45,12,NA,60622.6,12.75
6/17/13,13:00,13,NA,42711.4,13.00
6/17/13,13:15,13,NA,60622.6,13.25
6/17/13,13:30,13,NA,38578,13.50
6/17/13,13:45,13,NA,42711.4,13.75
6/17/13,14:00,14,NA,37200.2,14.00
6/17/13,14:15,14,NA,77156.1,14.25
6/17/13,14:30,14,NA,46844.8,14.50
6/17/13,14:45,14,NA,49600.3,14.75
6/17/13,15:00,15,NA,52355.9,15.00
6/17/13,15:15,15,NA,52355.9,15.25
6/17/13,15:30,15,NA,104711.8,15.50
6/17/13,15:45,15,NA,85422.8,15.75
6/17/13,16:00,16,NA,82667.2,16.00
6/17/13,16:15,16,NA,74400.5,16.25
6/17/13,16:30,16,NA,71644.9,16.50
6/17/13,16:45,16,NA,88178.4,16.75
6/17/13,17:00,17,NA,88178.4,17.00
6/17/13,17:15,17,NA,68889.3,17.25
6/17/13,17:30,17,NA,57867,17.50
6/17/13,17:45,17,NA,46844.8,17.75
6/17/13,18:00,18,NA,74400.5,18.00
6/17/13,18:15,18,NA,44089.2,18.25
6/17/13,18:30,18,NA,55111.5,18.50
6/17/13,18:45,18,NA,33066.9,18.75
6/17/13,19:00,19,NA,74400.5,19.00
6/17/13,19:15,19,NA,44089.2,19.25
6/17/13,19:30,19,NA,44089.2,19.50
6/17/13,19:45,19,NA,77156.1,19.75
6/17/13,20:00,20,NA,33066.9,20.00
6/17/13,20:15,20,NA,49600.3,20.25
6/17/13,20:30,20,NA,57867,20.50
6/17/13,20:45,20,NA,44089.2,20.75
6/17/13,21:00,21,NA,42711.4,21.00
6/17/13,21:15,21,NA,33066.9,21.25
6/17/13,21:30,21,NA,19977.9,21.50
6/17/13,21:45,21,NA,24800.2,21.75
6/17/13,22:00,22,NA,24800.2,22.00
6/17/13,22:15,22,NA,24800.2,22.25
6/17/13,22:30,22,NA,23422.4,22.50
6/17/13,22:45,22,NA,13089,22.75
6/17/13,23:00,23,NA,8611.2,23.00
6/17/13,23:15,23,NA,6200,23.25
6/17/13,23:30,23,NA,4477.8,23.50
6/17/13,23:45,23,NA,2152.8,23.75
6/18/13,0:00,0,NA,1550,0.00
6/18/13,0:15,0,NA,1345.5,0.25
6/18/13,0:30,0,NA,1894.5,0.50
6/18/13,0:45,0,NA,2927.8,0.75
6/18/13,1:00,1,NA,4477.8,1.00
6/18/13,1:15,1,NA,2411.1,1.25
6/18/13,1:30,1,NA,1377.8,1.50
6/18/13,1:45,1,NA,893.4,1.75
6/18/13,2:00,2,NA,1022.6,2.00
6/18/13,2:15,2,NA,1367,2.25
6/18/13,2:30,2,NA,2066.7,2.50
6/18/13,2:45,2,NA,1722.2,2.75
6/18/13,3:00,3,NA,2583.4,3.00
6/18/13,3:15,3,NA,3100,3.25
6/18/13,3:30,3,NA,1550,3.50
6/18/13,3:45,3,NA,2066.7,3.75
6/18/13,4:00,4,NA,2238.9,4.00
6/18/13,4:15,4,NA,2927.8,4.25
6/18/13,4:30,4,NA,2755.6,4.50
6/18/13,4:45,4,NA,3961.1,4.75
6/18/13,5:00,5,NA,5166.7,5.00
6/18/13,5:15,5,NA,5166.7,5.25
6/18/13,5:30,5,NA,7577.8,5.50
6/18/13,5:45,5,NA,6200,5.75
6/18/13,6:00,6,NA,9300.1,6.00
6/18/13,6:15,6,NA,12400.1,6.25
6/18/13,6:30,6,NA,17911.2,6.50
6/18/13,6:45,6,NA,18600.1,6.75
6/18/13,7:00,7,NA,20666.8,7.00
6/18/13,7:15,7,NA,19289,7.25
6/18/13,7:30,7,NA,14466.8,7.50
6/18/13,7:45,7,NA,24800.2,7.75
6/18/13,8:00,8,NA,30311.3,8.00
6/18/13,8:15,8,NA,34444.7,8.25
6/18/13,8:30,8,NA,46844.8,8.50
6/18/13,8:45,8,NA,44089.2,8.75
6/18/13,9:00,9,NA,57867,9.00
6/18/13,9:15,9,NA,60622.6,9.25
6/18/13,9:30,9,NA,60622.6,9.50
6/18/13,9:45,9,NA,57867,9.75
